x1,y1,z1,x2,y2,z2
145.0, 0.0, 0.0, 154.0, 31.0, 14.0
18.0, 0.0, 0.0, 78.0, 81.0, 11.0
78.0, 10.0, 0.0, 145.0, 94.0, 40.0
181.0, 10.0, 41.0, 239.0, 108.0, 83.0
16.0, 94.0, 39.0, 56.0, 188.0, 96.0
0.0, 10.0, 72.0, 68.0, 83.0, 149.0
138.0, 94.0, 19.0, 145.0, 108.0, 92.0
45.0, 166.0, 116.0, 70.0, 233.0, 179.0
45.0, 166.0, 101.0, 108.0, 226.0, 116.0
55.0, 94.0, 0.0, 138.0, 109.0, 36.0
0.0, 180.0, -0.0, 21.0, 240.0, 32.0
0.0, 69.0, 172.0, 43.0, 125.0, 200.0
73.0, 8.0, 41.0, 170.0, 84.0, 73.0
160.0, 8.0, 83.0, 234.0, 71.0, 127.0
21.0, 125.0, 4.0, 44.0, 188.0, 14.0
56.0, 94.0, 36.0, 136.0, 131.0, 83.0
18.0, 0.0, 149.0, 82.0, 69.0, 200.0
18.0, 0.0, 39.0, 29.0, 24.0, 70.0
113.0, 0.0, 41.0, 181.0, 8.0, 107.0
82.0, 0.0, 73.0, 113.0, 87.0, 171.0
163.0, 88.0, 0.0, 236.0, 118.0, 20.0
0.0, 0.0, 14.0, 18.0, 10.0, 75.0
0.0, 82.0, 0.0, 55.0, 180.0, 4.0
0.0, 146.0, 32.0, 16.0, 201.0, 70.0
138.0, 108.0, 20.0, 198.0, 124.0, 99.0
154.0, 0.0, 0.0, 167.0, 8.0, 14.0
0.0, 10.0, 4.0, 16.0, 91.0, 39.0
167.0, 186.0, 44.0, 183.0, 240.0, 75.0
159.0, 91.0, 99.0, 220.0, 113.0, 161.0
56.0, 141.0, 6.0, 133.0, 240.0, 101.0
170.0, 0.0, 0.0, 215.0, 74.0, 24.0
133.0, 155.0, 44.0, 163.0, 240.0, 100.0
163.0, 170.0, 108.0, 222.0, 211.0, 170.0
154.0, 81.0, 0.0, 240.0, 88.0, 31.0
113.0, 8.0, 73.0, 160.0, 83.0, 125.0
160.0, 113.0, 102.0, 212.0, 170.0, 197.0
197.0, 125.0, 33.0, 232.0, 224.0, 70.0
145.0, 148.0, 14.0, 152.0, 222.0, 39.0
70.0, 173.0, 116.0, 124.0, 219.0, 191.0
0.0, 139.0, 129.0, 20.0, 216.0, 200.0
113.0, 8.0, 175.0, 175.0, 74.0, 200.0
29.0, 10.0, 11.0, 73.0, 94.0, 72.0
233.0, 125.0, 0.0, 240.0, 207.0, 67.0
163.0, 131.0, 75.0, 234.0, 179.0, 93.0
66.0, 87.0, 102.0, 159.0, 166.0, 141.0
167.0, 125.0, 93.0, 240.0, 147.0, 102.0
20.0, 166.0, 96.0, 45.0, 209.0, 138.0
212.0, 125.0, 108.0, 240.0, 162.0, 200.0
212.0, 113.0, 99.0, 238.0, 125.0, 188.0
183.0, 228.0, 19.0, 239.0, 239.0, 33.0
0.0, 83.0, 101.0, 66.0, 139.0, 164.0
136.0, 125.0, 6.0, 167.0, 148.0, 55.0
178.0, 0.0, 128.0, 240.0, 91.0, 200.0
181.0, 179.0, 93.0, 240.0, 240.0, 108.0
21.0, 188.0, 0.0, 51.0, 235.0, 94.0
167.0, 139.0, 0.0, 233.0, 232.0, 19.0
124.0, 123.0, 153.0, 157.0, 223.0, 200.0
108.0, 223.0, 114.0, 207.0, 240.0, 200.0
220.0, 0.0, 20.0, 239.0, 81.0, 31.0
167.0, 0.0, 31.0, 203.0, 46.0, 41.0
152.0, 148.0, 19.0, 197.0, 228.0, 44.0
70.0, 109.0, 149.0, 102.0, 173.0, 193.0
94.0, 124.0, 0.0, 128.0, 146.0, 6.0
